"Part name","Quantity","Description",
"Thorlabs CM1-BS014","1","",
"Thorlabs KCB1C-M","3","",
"Thorlabs PF10-03-P01","4","",
"Thorlabs CP360R-M Mount","5","",
"Thorlabs CP360R-M Clamp","5","",
"Thorlabs ER2","16","",
"Thorlabs CP02-M","2","",
"Thorlabs ERSCA","4","",
"Light","1","",
"Thorlabs PH75-M","4","",
"Thorlabs BA1S-M","5","",
"Thorlabs TR50-M","4","",
"Thorlabs PH100-M","1","",
"Thorlabs TR75-M","1","",
"Thorlabs RA90-M","1","",
"Thorlabs TR20-M","1","",
"Thorlabs CT101","1","",
"Thorlabs RMS40X-PF","2","",
"Thorlabs ER4","8","",
"Thorlabs CP08-M","3","",
"Thorlabs CP03-M","1","",
"Thorlabs WG41050","2","",
"Thorlabs CT1 Body","1","",
"Thorlabs CT1 Slider","1","",
"Thorlabs Z812B Body","1","",
"Thorlabs Z812B Pin","1","",
"MB4560_M - Aluminium Breadboard 450 x 600 x 12","1","",
"MB3045A_M - Aluminium Breadboard 300 x 450 x 12","1","",
"Thorlabs P250-M","4","",
"Thorlabs M6 Set x mm","5","",
"Table","1","Bottom cage rod: 70 mm; optical axis: 88 mm",
"Photonfocus camera","1","",
"Thorlabs AC254-050-B-ML","2","",
"Thorlabs ER3","4","",
"Thorlabs CP12","1","",
"Thorlabs SM1A9","1","",
"Thorlabs SM1L03","3","",
"Thorlabs SM1SMA","1","",
"Thorlabs KC1-T-M","1","",
"Thorlabs CP02B","2","",
"Thorlabs DDR25-M Rotor","1","",
"Thorlabs DDR25-M Body","1","",
"Thorlabs KMSS-M","1","",
"Thorlabs MH25T","1","",
"Thorlabs RS4M","1","",
"PI P-841.10","1","",
"Thorlabs AP4M3M","1","",
"Thorlabs CXY1","1","",
"Thorlabs SM1Z","1","",
"Thorlabs SM05RR","2","",
"Thorlabs TR5M","1","",
"Thorlabs CP30","1","",
"Thorlabs TR40-M","1","",
"Thorlabs ER8","4","",
"Thorlabs FMP1-M","1","",
"Thorlabs ER1","4","",
